"","CO_ANO","CO_MES","CO_NCM","CO_UNID","CO_PAIS","SG_UF_NCM","CO_VIA","CO_URF","QT_ESTAT","KG_LIQUIDO","VL_FOB"
"811",2018,1,84821010,11,599,"SP",4,817700,2,0,24
"812",2018,12,41079910,15,493,"RS",1,927800,1415,1406,15160
"813",2018,1,85489090,10,158,"RS",4,817700,1,0,60
"814",2018,10,85423120,11,791,"SP",4,817600,2000,7,6000
"815",2018,1,40169300,10,249,"ND",4,817700,8,8,11228
"816",2018,12,84835010,11,337,"SC",1,1017700,12,1848,15429
"817",2018,12,28444090,10,676,"SP",4,817600,4,398,2600
"818",2018,3,70133700,10,345,"SP",1,817800,4533,4533,4729
"819",2018,1,40091290,10,493,"SP",4,817600,30,2,56
"820",2018,9,28352200,10,158,"SP",7,1017500,100,100,549
"821",2018,2,32082011,10,586,"PR",7,917500,2221,2221,13444
"822",2018,7,68042219,10,63,"SP",4,817600,16,16,1172
"823",2018,4,73209000,10,361,"SP",4,817600,294,294,10327
"824",2018,3,32131000,10,63,"SP",1,817800,5931,5931,37101
"825",2018,3,90152090,11,741,"ND",4,717700,2,11,300
"826",2018,5,17041000,10,249,"PR",1,717600,115,115,916
"827",2018,4,40169990,10,493,"RS",1,817800,320,320,4026
"828",2018,4,40169300,10,239,"SP",1,817800,2108,2108,73200
"829",2018,3,40169300,10,23,"SP",4,817600,2117,1140,30046
"830",2018,4,85176222,11,845,"SC",4,817600,15,16,1575
"831",2018,11,39259090,10,493,"PR",1,917800,4,4,104
"832",2018,10,84219999,10,23,"SC",1,927700,10593,1041,17948
"833",2018,8,39211390,10,586,"SP",7,917500,8011,2850,44417
"834",2018,7,84831020,11,169,"SP",4,817700,26,221,2798
"835",2018,9,34049029,10,647,"RJ",1,717600,50000,50000,64018
"836",2018,12,85122023,11,586,"SP",7,917500,221,337,10944
"837",2018,10,13021999,10,628,"SC",4,817600,60,60,7507
"838",2018,9,8055000,10,573,"SP",1,817800,1209273,1209273,1124354
"839",2018,11,39239000,10,586,"SP",7,917500,16297,15728,97361
"840",2018,2,99997102,10,827,"RJ",9,717600,0,0,200
